Videokarte MSI GeForce RTX 3060 VENTUS 2X 12G OC, 12 GB, GDDR6 
Videokarte MSI GeForce RTX 3060 VENTUS 2X 12G OC, 12 GB, GDDR6 
Videokarte MSI GeForce RTX™ 4060 Ti V517-005R, 16 GB, GDDR6 
Videokarte MSI GeForce RTX™ 4060 Ti V517-005R, 16 GB, GDDR6 
Videokarte Palit GeForce RTX™ 4060 NE64060019P1-1070D, 8 GB, GDDR6 
