Procesors AMD Ryzen 7 5800X 3.8GHz 32MB BOX 100-100000063WOF, 3.8GHz, AM4, 32MB 
Procesors AMD Ryzen 7 5800X 3.8GHz 32MB BOX 100-100000063WOF, 3.8GHz, AM4, 32MB 
Procesors AMD AMD Ryzen 7 5800X3D 100-100000651WOF, 3.4GHz, AM4, 96MB 
Procesors AMD AMD Ryzen 7 5800X3D 100-100000651WOF, 3.4GHz, AM4, 96MB 
Procesors Intel Intel® Core™ i9-11900 Processor 2.50 GHz 16 MB BOX, 2.5GHz, LGA 1200, 16MB 
