Videokarte MSI GeForce RTX 3060 VENTUS 2X 12G OC, 12 GB, GDDR6 
Videokarte MSI GeForce RTX 3060 VENTUS 2X 12G OC, 12 GB, GDDR6 
Videokarte MSI GeForce RTX™ 4060 Ti V517-005R, 16 GB, GDDR6 
Videokarte MSI GeForce RTX™ 4060 Ti V517-005R, 16 GB, GDDR6 
Videokarte Gigabyte GeForce RTX™ 4060 GV-N4060GAMING OC-8GD, 8 GB, GDDR6 
